"Variables ->","yn","l_yn","pyn","l_pyn","nyn","l_nyn","l_cpi","l_cpi_u","l_cpi_tw","l_cpi_us","auct","l_auct","ofr","l_ofr","ni","ni_us","inv_ne_us","ne_us","ne_tw","inv_ne_tw","l_ne_us","l_ne_tw","l_y_tw_gap","poil_us","l_poil_us","l_ne_cross","ne_cross","inv_ne_cross","l_ne_us_tar","dl_cpi_tar","l_oil","l_gex","l_cpi_core","l_cpi_core_u","l_re_tw","dl_yn","dl_pyn","dl_nyn","dl_cpi","dl_cpi_u","dl_cpi_tw","dl_cpi_us","dl_auct","dl_ofr","dl_ne_us","dl_ne_tw","dl_y_tw_gap","dl_poil_us","dl_ne_cross","dl_ne_us_tar","dl_oil","dl_gex","dl_cpi_core","dl_cpi_core_u","dl_re_tw","d4l_yn","d4l_pyn","d4l_nyn","d4l_cpi","d4l_cpi_u","d4l_cpi_tw","d4l_cpi_us","d4l_auct","d4l_ofr","d4l_ne_us","d4l_ne_tw","d4l_y_tw_gap","d4l_poil_us","d4l_ne_cross","d4l_ne_us_tar","d4l_oil","d4l_gex","d4l_cpi_core","d4l_cpi_core_u","d4l_re_tw","dl_cpi_nonc","dl_cpi_nonc_u","l_cpi_nonc"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]","Series[78-by-1]"
"2003Q1",1.22643000e+03,7.11186279e+02,8.86526201e+01,4.48472559e+02,1.08726233e+05,1.15965884e+03,4.57505563e+02,4.60116216e+02,4.87676710e+02,5.21260176e+02,NaN,NaN,NaN,NaN,7.00000000e+00,1.26666667e+00,9.80000000e-01,1.02040816e+00,9.43800000e-01,1.05954651e+00,2.02027073e+00,-5.78409997e+00,NaN,3.14100000e+01,3.44712631e+02,-7.80437070e+00,9.24924000e-01,1.08116991e+00,2.02027073e+00,6.00000000e+00,7.09462432e+02,7.62158661e+01,4.65418966e+02,4.66182899e+02,-3.59552470e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2003Q2",1.26581000e+03,7.14346751e+02,8.90705952e+01,4.48942926e+02,1.12746450e+05,1.16328968e+03,4.59077437e+02,4.60386934e+02,4.89333949e+02,5.20962500e+02,NaN,NaN,NaN,NaN,7.00000000e+00,1.26666667e+00,9.80000000e-01,1.02040816e+00,8.84900000e-01,1.13007119e+00,2.02027073e+00,-1.22280635e+01,NaN,2.61400000e+01,3.26346671e+02,-1.42483342e+01,8.67202000e-01,1.15313387e+00,2.02027073e+00,6.00000000e+00,6.92122146e+02,7.71722298e+01,4.66550930e+02,4.66100010e+02,-4.24845757e+01,1.26418893e+01,1.88146887e+00,1.45233582e+01,6.28749526e+00,1.08287027e+00,6.62895591e+00,-1.19070699e+00,NaN,NaN,0.00000000e+00,-2.57758540e+01,NaN,-7.34638421e+01,-2.57758540e+01,0.00000000e+00,-6.93611428e+01,3.82545473e+00,4.52785625e+00,-3.31556602e-01,-2.61173147e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.03933196e+01,4.38319962e+00,2.59832991e+00
"2003Q3",1.30726000e+03,7.17568862e+02,9.19885310e+01,4.52166391e+02,1.20252927e+05,1.16973525e+03,4.62216609e+02,4.59279391e+02,4.90635908e+02,5.21543385e+02,NaN,NaN,NaN,NaN,7.00000000e+00,1.00000000e+00,9.80000000e-01,1.02040816e+00,9.03900000e-01,1.10631707e+00,2.02027073e+00,-1.01036544e+01,NaN,2.84400000e+01,3.34779660e+02,-1.21239251e+01,8.85822000e-01,1.12889497e+00,2.02027073e+00,6.00000000e+00,6.94818415e+02,7.84855002e+01,4.68569687e+02,4.67901248e+02,-3.85229527e+01,1.28884441e+01,1.28938589e+01,2.57823030e+01,1.25566888e+01,-4.43017013e+00,5.20783323e+00,2.32354102e+00,NaN,NaN,0.00000000e+00,8.49763621e+00,NaN,3.37319587e+01,8.49763621e+00,0.00000000e+00,1.07850753e+01,5.25308158e+00,8.07502811e+00,7.20495070e+00,1.58464918e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.30138971e+01,-3.15787854e+01,8.35180418e+00
"2003Q4",1.35533000e+03,7.21180025e+02,9.14567213e+01,4.51586587e+02,1.23954038e+05,1.17276661e+03,4.63154210e+02,4.62251882e+02,4.92506591e+02,5.22117120e+02,NaN,NaN,NaN,NaN,7.00000000e+00,1.00000000e+00,9.80000000e-01,1.02040816e+00,8.54600000e-01,1.17013808e+00,2.02027073e+00,-1.57121756e+01,NaN,2.94000000e+01,3.38099467e+02,-1.77324463e+01,8.37508000e-01,1.19401845e+00,2.02027073e+00,6.00000000e+00,6.99798170e+02,8.39822502e+01,4.69330102e+02,4.69682155e+02,-4.50645571e+01,1.44446494e+01,-2.31921502e+00,1.21254343e+01,3.75040129e+00,1.18899638e+01,7.48273392e+00,2.29493882e+00,NaN,NaN,0.00000000e+00,-2.24340846e+01,NaN,1.32792278e+01,-2.24340846e+01,0.00000000e+00,1.99190210e+01,2.19870003e+01,3.04165903e+00,7.12363114e+00,-2.61664173e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.40413322e+00,2.30114065e+01,9.70283749e+00
"2004Q1",1.40253000e+03,7.24603303e+02,9.01939669e+01,4.50196254e+02,1.26499744e+05,1.17479956e+03,4.63057131e+02,4.65529280e+02,4.94182815e+02,5.23029690e+02,NaN,NaN,NaN,NaN,7.00000000e+00,1.00000000e+00,9.90000000e-01,1.01010101e+00,8.40600000e-01,1.18962646e+00,1.00503359e+00,-1.73639356e+01,NaN,3.19400000e+01,3.46385914e+02,-1.83689692e+01,8.32194000e-01,1.20164289e+00,1.00503359e+00,6.00000000e+00,7.06599384e+02,9.08121833e+01,4.70224476e+02,4.70991894e+02,-4.84896195e+01,1.36931126e+01,-5.56133204e+00,8.13178054e+00,-3.88315024e-01,1.31095884e+01,6.70489455e+00,3.65028095e+00,NaN,NaN,-4.06094859e+00,-6.60704026e+00,NaN,3.31457874e+01,-2.54609167e+00,-4.06094859e+00,2.72048564e+01,2.73197321e+01,3.57749736e+00,5.23895477e+00,-1.37002498e+01,1.34170238e+01,1.72369517e+00,1.51407190e+01,5.55156758e+00,5.41306308e+00,6.50610440e+00,1.76951345e+00,NaN,NaN,-1.01523715e+00,-1.15798357e+01,NaN,1.67328292e+00,-1.05645985e+01,-1.01523715e+00,-2.86304751e+00,1.45963172e+01,4.80551019e+00,4.80899500e+00,-1.25343725e+01,-9.64187724e+00,3.14744003e+01,7.29236818e+00
"2004Q2",1.43982000e+03,7.27227338e+02,9.46620101e+01,4.55031276e+02,1.36296255e+05,1.18225861e+03,4.65090488e+02,4.66325040e+02,4.95929947e+02,5.23788779e+02,NaN,NaN,NaN,NaN,7.00000000e+00,1.00000000e+00,9.80000000e-01,1.02040816e+00,8.58400000e-01,1.16495806e+00,2.02027073e+00,-1.52685088e+01,NaN,3.54300000e+01,3.56755892e+02,-1.72887795e+01,8.41232000e-01,1.18873272e+00,2.02027073e+00,6.00000000e+00,7.16518317e+02,9.52389477e+01,4.71889224e+02,4.71440619e+02,-4.61079683e+01,1.04961429e+01,1.93400881e+01,2.98362310e+01,8.13342756e+00,3.18304067e+00,6.98853027e+00,3.03635842e+00,NaN,NaN,4.06094859e+00,8.38170750e+00,NaN,4.14799104e+01,4.32075891e+00,4.06094859e+00,3.96757288e+01,1.77070578e+01,6.65898920e+00,1.79489987e+00,9.52660479e+00,1.28805872e+01,6.08834998e+00,1.89689372e+01,6.01305066e+00,5.93810568e+00,6.59599799e+00,2.82627980e+00,NaN,NaN,0.00000000e+00,-3.04044530e+00,NaN,3.04092211e+01,-3.04044530e+00,0.00000000e+00,2.43961704e+01,1.80667179e+01,5.33829342e+00,5.34060912e+00,-3.62339263e+00,1.15737837e+01,6.42203587e+00,1.01858141e+01
"2004Q3",1.47340000e+03,7.29532793e+02,9.38203441e+01,4.54138172e+02,1.38234895e+05,1.18367097e+03,4.67044714e+02,4.64246597e+02,4.97793241e+02,5.24233611e+02,NaN,NaN,NaN,NaN,7.00000000e+00,1.43333333e+00,9.80000000e-01,1.02040816e+00,8.56000000e-01,1.16822430e+00,2.02027073e+00,-1.55484903e+01,NaN,4.15900000e+01,3.72785975e+02,-1.75687610e+01,8.38880000e-01,1.19206561e+00,2.02027073e+00,6.00000000e+00,7.27996625e+02,9.47339520e+01,4.72912680e+02,4.72240067e+02,-4.62970172e+01,9.22181980e+00,-3.57241537e+00,5.64940442e+00,7.81690566e+00,-8.31377053e+00,7.45317525e+00,1.77932494e+00,NaN,NaN,0.00000000e+00,-1.11992607e+00,NaN,6.41203340e+01,-1.11992607e+00,0.00000000e+00,4.59132337e+01,-2.01998270e+00,4.09382443e+00,3.19778989e+00,-7.56195652e-01,1.19639312e+01,1.97178142e+00,1.39357126e+01,4.82810487e+00,4.96720558e+00,7.15733350e+00,2.69022578e+00,NaN,NaN,0.00000000e+00,-5.44483587e+00,NaN,3.80063149e+01,-5.44483587e+00,0.00000000e+00,3.31782100e+01,1.62484519e+01,4.34299251e+00,4.33881892e+00,-7.77406449e+00,1.65040952e+01,-3.51740782e+01,1.43118379e+01
"2004Q4",1.49639000e+03,7.31081082e+02,9.75047871e+01,4.57990148e+02,1.45905188e+05,1.18907123e+03,4.73079446e+02,4.72259760e+02,4.99758151e+02,5.25386343e+02,NaN,NaN,NaN,NaN,7.00000000e+00,1.96666667e+00,9.80000000e-01,1.02040816e+00,8.02500000e-01,1.24610592e+00,2.02027073e+00,-2.20023424e+01,NaN,4.41600000e+01,3.78781940e+02,-2.40226131e+01,7.86450000e-01,1.27153665e+00,2.02027073e+00,6.00000000e+00,7.33087187e+02,9.51524712e+01,4.77936525e+02,4.78278668e+02,-4.86810474e+01,6.19315420e+00,1.54079017e+01,2.16010559e+01,2.41389280e+01,3.20526529e+01,7.85964014e+00,4.61093013e+00,NaN,NaN,0.00000000e+00,-2.58154085e+01,NaN,2.39838593e+01,-2.58154085e+01,0.00000000e+00,2.03622490e+01,1.67407647e+00,2.00953827e+01,2.41544047e+01,-9.53612057e+00,9.90105736e+00,6.40356059e+00,1.63046180e+01,9.92523656e+00,1.00078779e+01,7.25156005e+00,3.26922361e+00,NaN,NaN,0.00000000e+00,-6.29016682e+00,NaN,4.06824728e+01,-6.29016682e+00,0.00000000e+00,3.32890170e+01,1.11702209e+01,8.60642343e+00,8.59651230e+00,-3.61649031e+00,3.35738670e+01,5.04818986e+01,2.27053047e+01
